series,run_id,total_energy_wh,mean_power_w,peak_power_w,power_std_w,spike_count,avg_voltage_v,avg_current_a,avg_temp_c,power_cv,unit_task_energy_wh,estimated_carbon_kg
本机-优化后,7,4.457121263895164,26.742727583370986,39.83317354381615,3.4314909359397183,7,11.756000340596774,1.9797285506524447,33.02839071831266,0.12831491945770965,4.457121263895164,0.002335531542281066
本机-优化后,8,4.467794698928412,26.80676819357047,46.38302738530823,3.67247435729534,7,11.754878080389208,1.984677346242059,32.58311415635439,0.1369980271689809,4.467794698928412,0.0023411244222384876
同类机械臂A,1,5.62372496410043,33.742349784602574,52.21047372917005,4.405157065689187,9,11.55500694764988,2.3369836670626265,32.6245288781251,0.13055276511001507,5.62372496410043,0.002946831881188625
同类机械臂A,2,5.621562121224478,33.72937272734686,52.259184245825175,4.3495071103049545,8,11.557283704287364,2.3354859577658313,32.38885100131404,0.1289530981042672,5.621562121224478,0.002945698551521627
同类机械臂A,3,5.61099237776629,33.66595426659774,50.34930403177683,4.404123352423269,10,11.553189933211435,2.331995523440902,32.33268400835997,0.13081831328906948,5.61099237776629,0.0029401600059495363
同类机械臂A,4,5.61162771020463,33.66976626122778,50.75853201847279,4.296392582144688,6,11.5519749457672,2.3324905719755673,32.4579119551384,0.1276038731249576,5.61162771020463,0.002940492920147226
同类机械臂A,5,5.646702552023919,33.88021531214352,50.41735453503622,4.350687596276894,8,11.557612479209496,2.3460350210985235,33.17427708376589,0.1284138119015288,5.646702552023919,0.002958872137260534
同类机械臂A,6,5.60243713175042,33.614622790502516,49.956929879565,4.298186424046162,12,11.557816758801543,2.327411245048012,32.44138160344302,0.12786656720302608,5.60243713175042,0.00293567705703722
同类机械臂A,7,5.648016361237143,33.888098167422854,49.03889145495196,4.461344781793872,17,11.555156553620128,2.3469499140965655,32.88248920767239,0.13164931120515433,5.648016361237143,0.0029595605732882628
同类机械臂A,8,5.597775848765386,33.586655092592316,48.012797070020326,4.342328411342209,6,11.55465489851152,2.3262499831300634,32.14169912191373,0.1292873136479711,5.597775848765386,0.0029332345447530624
同类机械臂B,1,6.485787159975804,38.91472295985483,57.87656237037828,5.080315078059888,16,11.453211757265858,2.583176138602193,32.10886660007814,0.13054994849380883,6.485787159975804,0.0033985524718273216
同类机械臂B,2,6.465494156166312,38.792964936997876,56.58353437328258,5.018779911647751,7,11.452263452729081,2.575341985161427,32.41529925859202,0.1293734552076273,6.465494156166312,0.0033879189378311476
同类机械臂B,3,6.460297679089241,38.76178607453544,53.015982721985296,4.882668278732464,8,11.45740174976714,2.572094922968786,32.54897497927539,0.12596602925736006,6.460297679089241,0.003385195983842762
同类机械臂B,4,6.540213161044624,39.24127896626774,62.4060137041494,5.334980886394385,19,11.455023156192702,2.604343948271388,33.75599556099394,0.13595328763316802,6.540213161044624,0.0034270716963873834
同类机械臂B,5,6.484126009268117,38.9047560556087,54.71893487269521,4.911147498172192,9,11.455113295162809,2.582069201035386,32.59644524574786,0.12623514439089195,6.484126009268117,0.003397682028856493
同类机械臂B,6,6.473022594844311,38.83813556906586,55.008838388472164,5.0337404330855255,13,11.455272045602342,2.577605278965732,32.38984466055521,0.1296081894594045,6.473022594844311,0.003391863839698419
同类机械臂B,7,6.462563228831459,38.77537937298875,59.309219738718916,5.060341627429992,10,11.454523219342292,2.5735703792081686,32.471208037396956,0.13050398756266116,6.462563228831459,0.0033863831319076846
同类机械臂B,8,6.515658196577255,39.09394917946353,57.923333070735836,4.935926407208077,12,11.456047156095016,2.5945274157158638,32.9634303217188,0.12625806578274706,6.515658196577255,0.003414204895006482
